,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
10,2463.9100000000003,2493.31,2520.38,2564.1600000000003,2816.3300000000004,inf,2369.26,2575.21,2644.03,inf,0.0,inf,inf,3358.73,3375.6,3494.0099999999998,3383.18,3400.5499999999997,3439.93,inf,inf,inf,inf,inf,inf,inf,3414.35,3481.47,inf,inf,inf,inf,inf,3382.47,1949.7600000000002,inf,1513.1200000000003,1586.75,inf,inf,inf,inf,1888.79,1724.13,821.74,998.0400000000001,1128.97,1321.8500000000001,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1827.2400000000002,2037.3400000000001,inf,inf,2178.29,2443.89,inf,1849.42,inf,1557.1,1757.44,inf,inf,inf,1338.6100000000001,1156.5500000000002,1197.88,1266.7600000000002,1365.46,1301.21,2113.32,341.1,470.14,inf,3114.6,inf,1287.44
11,2510.17,2539.57,2566.6400000000003,2610.4200000000005,2862.5900000000006,inf,2415.52,2621.4700000000003,2690.2900000000004,inf,46.26,0.0,67.36,3404.9900000000002,3421.86,3540.27,3429.44,3446.81,3486.19,inf,inf,inf,inf,inf,inf,inf,3460.61,3527.73,inf,inf,inf,inf,inf,3428.73,1996.02,inf,1559.38,1633.0100000000002,inf,inf,inf,inf,1935.0500000000002,1770.3900000000003,868.0,1044.3000000000002,1175.23,1368.1100000000001,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1873.5,2083.6,inf,inf,2224.55,2490.15,inf,1895.6800000000003,inf,1603.3600000000001,1803.7000000000003,inf,inf,inf,1384.87,1202.81,1244.14,1313.02,1411.7200000000003,1347.47,2159.58,387.36,516.4,inf,3160.86,inf,1333.7
12,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
13,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,16.87,135.28,24.45,41.82,81.2,inf,inf,inf,inf,inf,inf,inf,256.17,323.29,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
14,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,118.41,135.93,153.3,159.79,inf,inf,inf,inf,inf,inf,inf,334.76,401.88,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
15,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,76.3,0.0,17.52,34.89,41.38,inf,inf,inf,inf,inf,inf,inf,216.35,283.47,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
16,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,58.78,177.19,0.0,17.37,56.75,inf,inf,inf,inf,inf,inf,inf,231.72,298.84000000000003,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
17,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,41.41,159.82,177.34,0.0,39.38,inf,inf,inf,inf,inf,inf,inf,214.35,281.47,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
18,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,174.97,242.09,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
19,3104.69,3134.09,3161.1600000000003,3204.9400000000005,3457.1100000000006,inf,3010.0400000000004,3215.9900000000002,3284.8100000000004,inf,640.78,594.52,661.8800000000001,3999.51,4016.38,4134.79,4023.96,4041.33,4080.71,0.0,214.4,inf,245.86,265.16,267.78000000000003,inf,4055.13,4122.25,inf,inf,inf,inf,inf,4023.25,2590.5400000000004,inf,2153.9,2227.53,inf,inf,inf,inf,2529.57,2364.9100000000003,1462.52,1638.8200000000002,1769.75,1962.63,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2468.02,2678.1200000000003,inf,inf,2819.07,3084.67,inf,2490.2000000000003,inf,2197.88,2398.2200000000003,inf,inf,inf,1979.3899999999999,1797.33,1838.6600000000003,1907.54,2006.2400000000002,1941.9900000000002,2754.1,981.88,1110.92,297.86,3755.38,258.44,1928.2200000000003
20,3164.67,3194.07,3221.1400000000003,3264.9200000000005,3517.0900000000006,inf,3070.0200000000004,3275.9700000000003,3344.7900000000004,inf,700.76,654.5,721.86,4059.4900000000002,4076.36,4194.77,4083.94,4101.31,4140.6900000000005,inf,0.0,inf,31.46,50.760000000000005,53.38,inf,4115.110000000001,4182.2300000000005,inf,inf,inf,inf,inf,4083.23,2650.5200000000004,inf,2213.88,2287.51,inf,inf,inf,inf,2589.55,2424.8900000000003,1522.4999999999998,1698.8,1829.7299999999998,2022.61,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2528.0,2738.1000000000004,inf,inf,2879.05,3144.65,inf,2550.1800000000003,inf,2257.86,2458.2000000000003,inf,inf,inf,2039.37,1857.31,1898.64,1967.52,2066.2200000000003,2001.97,2814.08,1041.86,1170.8999999999999,357.84,3815.36,44.04,1988.2
21,3147.19,3176.59,3203.6600000000003,3247.4400000000005,3499.6100000000006,inf,3052.5400000000004,3258.4900000000002,3327.3100000000004,inf,683.28,637.02,704.3800000000001,4042.01,4058.88,4177.29,4066.46,4083.83,4123.21,inf,inf,0.0,13.98,33.28,35.900000000000006,inf,4097.63,4164.75,inf,inf,inf,inf,inf,4065.75,2633.0400000000004,inf,2196.4,2270.03,inf,inf,inf,inf,2572.07,2407.4100000000003,1505.02,1681.3200000000002,1812.25,2005.13,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2510.52,2720.6200000000003,inf,inf,2861.57,3127.17,inf,2532.7000000000003,inf,2240.38,2440.7200000000003,inf,inf,inf,2021.8899999999999,1839.83,1881.1600000000003,1950.04,2048.7400000000002,1984.4900000000002,2796.6,1024.38,1153.42,340.36,3797.88,inf,1970.7200000000003
22,3133.21,3162.61,3189.6800000000003,3233.4600000000005,3485.6300000000006,inf,3038.5600000000004,3244.51,3313.3300000000004,inf,669.3,623.04,690.4000000000001,4028.03,4044.9,4163.31,4052.48,4069.85,4109.2300000000005,inf,inf,inf,0.0,19.3,21.92,inf,4083.65,4150.77,inf,inf,inf,inf,inf,4051.77,2619.0600000000004,inf,2182.42,2256.05,inf,inf,inf,inf,2558.09,2393.4300000000003,1491.04,1667.3400000000001,1798.27,1991.15,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2496.54,2706.6400000000003,inf,inf,2847.59,3113.19,inf,2518.7200000000003,inf,2226.4,2426.7400000000002,inf,inf,inf,2007.9099999999999,1825.85,1867.1800000000003,1936.06,2034.7600000000002,1970.5100000000002,2782.62,1010.4,1139.44,326.38,3783.9,inf,1956.7400000000002
